ReviewID,Keyword,Frequency
218,sides,1
218,restart,1
218,chromebook,1
218,settings,1
218,extensions,1
218,expensive,1
218,reset,1
218,android,1
218,google drive,1
218,documents,1
218,freezes,2
219,system,1
219,excellent price,1
219,worth,1
220,flipping,1
220,heavy laptop,1
220,hard drive,1
220,battery life,1
220,premium feel,1
221,fluid,1
221,chromebook,1
221,manageable,1
221,lenovo yoga,1
221,android,1
221,apple,1
221,charging,1
221,battery life,2
221,memory,1
221,internet,1
221,facebook,1
221,multitask,1
221,build quality,1
222,touch,1
222,windows 8,1
222,lightweight,1
222,good specs,1
223,price,1
223,worth,1
224,brand,1
224,disappointed,1
224,acer chromebook,1
225,grad school,1
225,operating system,1
225,money,2
225,worth,1
225,mouse pad,1
225,extra money,1
226,refund,1
226,charge,1
227,ipads,1
228,return,3
228,replacement,5
228,office,1
228,problem,1
228,issues,1
228,keyboard works,1
228,completely dead,1
228,walmart,1
228,options,1
228,refunded,1
228,windows laptop,1
228,web surfing,1
228,prime,1
228,compact,1
228,plugged,1
228,requested,1
228,inexpensive,1
228,received,1
228,powerful,1
228,notebook,2
228,online,1
228,replace,7
228,shipped,2
228,warranty,1
228,helpful,1
228,replaced,1
228,portable,1
229,market,1
229,battery life,1
229,macbook,2
229,worth,1
229,macbook pro,1
229,extra money,1
230,microsoft surface,1
230,updated review,1
230,corners,1
230,fixed,1
230,price,2
230,refunded,1
231,locking,1
231,pointer,1
231,turns,1
231,power button,1
231,frustration,2
231,touchpad,1
231,charging,1
231,plugged,1
231,battery life,1
231,regular laptop,1
231,freezing,1
231,recognized,1
231,drive,1
231,handling,1
231,volume,2
232,returned,1
232,bluetooth,1
233,reliable,1
233,beautiful,1
233,received,1
234,speakers,1
237,company,1
237,customer service,1
240,connectors,1
240,completely silent,1
240,small issue,1
240,attached,1
240,charge,1
240,display,1
240,batteries,1
240,charging,2
240,presentations,1
240,smartphone,1
240,cable,4
240,units,1
240,connector,2
241,battery power,1
241,long battery life,1
241,optimized,1
241,waste,1
241,internet,2
241,designed,1
